date,text,sentiment,score
2026-03-28,hey it's my first time sharing something with and ai but i am feeling  kinda lost as i recently had breakup with my 3 year log boyfreind,Neutral,0
2026-03-28,i am feeling very mad right now,Angry,0
2026-03-28,hi,Neutral,0
2026-03-28,i was very happy today but my friends bullied me,Happy,0
2026-03-28,i got married and i am feeling immense joy,Neutral,0
2026-03-28,i got married and i am feeling immense joy,Neutral,0
2026-03-28,hey,Neutral,0
2026-03-28,hey,Neutral,0
2026-03-28,hey,Neutral,0
2026-03-28,hey,Neutral,0
2026-03-28,i cried alot today,Neutral,0
2026-03-28,i cried alot today,Neutral,0
2026-03-28,i was laughing alot today,Neutral,0
2026-03-28,i was laughing alot today,Neutral,0
2026-03-29,hey  i am feeling kinda nervous but i failed my semester this year,Neutral,0
2026-03-29,hey  i am feeling kinda nervous but i failed my semester this year,Neutral,0
2026-03-29,hey,Neutral,0
2026-03-29,hey it's my first time sharing something with and ai but i am feeling  kinda lost as i recently had breakup with my 3 year log boyfreind,Neutral,0
2026-03-29,hi,Neutral,0
2026-03-29,i am quite happy,Neutral,0
2026-03-29,hi,Neutral,0
2026-03-29,someone bullied me today i cried alot,Neutral,0
2026-03-29,i was happy,Happy,0
2026-03-29,s,Neutral,0
2026-03-29,Take things one step at a time.,Bot,0
2026-03-29,hii,Neutral,0
2026-06-09,i cried alot today,Neutral,0
2026-06-09,i feel like dancing today,Neutral,0
2026-09-06,I am worried today because I have exam tommorow,Anxious,35
2026-09-06,I am worried today because I have exam tommorow,Anxious,52
2026-09-06,"I am excited about my presentation tomorrow, but I am also nervous.",Anxious,54
2026-09-06,I am angry about what happened and also disappointed.,Angry,54
2026-09-06,I am extremely happy today.,Happy,77
2026-09-06,I am worried today because I have exam tommorow,Anxious,54
2026-09-06,I am worried today because I have exam tommorow,Anxious,54
2026-09-06,I am worried today because I have exam tommorow,Anxious,74
2026-09-06,"I am excited about my presentation tomorrow, but I am also nervous.",Anxious,54
2026-09-06,I am worried today because I have exam tommorow,Anxious,74
2026-09-06,I am worried about tomorrow exam but also I am happy today,Anxious,54
2026-09-06,"I'm really excited about the competition tomorrow, but I'm also nervous.",Anxious,54
2026-09-06,"I am excited about my presentation tomorrow, but I am also nervous.",Anxious,54
2026-09-06,"I'm really excited about the competition tomorrow, but I'm also nervous",Anxious,54
2026-09-06,I am sad today,Sad,66
2026-09-06,I am sad today,Sad,66
2026-09-06,I am happy but feeling little tense,Anxious,54
